DATAFLOW,LAST UPDATE,freq,unit,iccs,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Hungary,1999,253,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Hungary,2000,205,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Hungary,2001,254,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Hungary,2002,203,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Hungary,2003,228,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Hungary,2004,209,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Hungary,2005,164,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Hungary,2006,175,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Hungary,2007,137,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Ireland,1994,32,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Ireland,1995,53,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Ireland,1996,46,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Ireland,1997,53,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Ireland,1998,51,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Ireland,1999,47,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Ireland,2000,56,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Ireland,2001,58,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Ireland,2002,59,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Ireland,2003,52,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Ireland,2004,45,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Ireland,2005,65,,
